restaurant_id,lundi,mardi,mercredi,jeudi,vendredi,samedi,dimanche
_e3rChyednoh47n2cjGv2w,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-22:0,14:0-22:0,14:0-21:0
p8AwMheeFJ_8pP2EpOAPsA,11:0-0:0,11:0-0:0,11:0-0:0,11:0-0:0,11:0-2:0,11:0-2:0,12:0-23:0
hjDCsuzS_yU60FFffqpt-w,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0
EVlKBiHSr2ZUk9GsWwW_Yw,17:0-23:0,17:0-23:0,17:0-23:0,17:0-23:0,17:0-23:0,17:0-23:0,17:0-23:0
v1cbdKF5EjgWSwutjzg-WA,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0
uW6UHfONAmm8QttPkbMewQ,0:0-0:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-16:0
3oTVApC-eUzpGjrOVxIr5g,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-0:0,10:0-0:0,10:0-23:0
q5xrVJ4kivx_yEfJeOKNYQ,18:0-0:0,18:0-0:0,18:0-0:0,18:0-0:0,18:0-2:0,18:0-2:0,18:0-0:0
67X6JB3kvZ2B_p8pucgNXA,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-0:0,11:0-0:0,11:0-21:0
OcNrTDq17-pqNCylCeTGIA,10:30-22:0,10:30-22:0,10:30-22:0,10:30-22:0,10:30-23:0,10:30-23:0,10:30-22:0
RIkiTtRMZASo7DmKd1vd5g,7:0-19:0,7:0-19:0,7:0-19:0,7:0-19:0,7:0-19:0,9:0-17:0,9:0-17:0
KN0gPRzDvA6uVYims2KA0w,7:0-14:30,7:0-14:30,7:0-14:30,7:0-14:30,7:0-14:30,7:0-14:30,7:0-14:30
vl1aHp6pvnSmpoRQShWLjg,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-23:0,11:0-23:0,11:0-22:0
_c3ixq9jYKxhLUB0czi0ug,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-23:0,11:0-22:0,11:0-21:0
SzhD5J80IhpyeBftzQ950Q,10:0-23:0,10:0-23:0,10:0-23:0,10:0-23:0,10:0-23:0,10:0-23:0,10:0-23:0
g6B5hVt6oZRVO2wR4f0sNw,0:0-0:0,7:0-19:0,7:0-19:0,7:0-21:0,7:0-21:0,8:0-19:0,8:0-19:0
X54yOvzhEKyAurDOeQ-BkA,0:0-0:0,7:30-23:0,7:30-23:0,7:30-23:0,7:30-23:0,8:0-22:0,8:0-23:0
8t4RND0dQhO0MBvyuMVkKA,9:0-17:0,9:0-17:0,9:0-17:0,9:0-17:0,9:0-17:0,9:0-17:0,9:0-17:0
maIam6HyU4FB_sBIk9ippA,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
3pGA9YGsDLRQ7HJLw5cwcQ,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0
ZoCCW3R_LEAzktU0rMbX8w,10:45-22:0,10:45-22:0,10:45-22:0,10:45-22:0,10:45-22:0,10:45-22:0,10:45-22:0
fseN-tYwcbjtYm7DjjEjLw,0:0-0:0,11:0-21:30,11:0-21:30,11:0-21:30,11:0-21:30,11:0-21:30,11:0-21:30
Z3L06hS8FCJpfEMZXX0udA,8:0-21:0,8:0-21:0,10:0-19:0,8:0-21:0,8:0-21:0,8:0-21:0,8:0-19:0
auDjameQ8PKA2cIwyI5uQA,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
HhVmDybpU7L50Kb5A0jXTg,9:0-0:0,9:0-0:0,9:0-0:0,9:0-0:0,9:0-0:0,9:0-0:0,9:0-0:0
aFQQMQlUIW9KajS6oH5kyw,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0
0IjBFHFm8M-VPyym-Xrkhw,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-0:0,11:0-0:0,11:0-23:0
dYJ7uBteyJiNHCLyK1ZOoQ,10:0-22:0,10:0-22:0,10:0-22:0,10:0-22:0,10:0-22:0,10:0-22:0,10:0-22:0
fZVkbNNWjMxuWzNi4Uvufg,10:30-21:0,10:30-21:0,10:30-21:0,10:30-21:0,10:30-21:0,10:30-21:0,11:0-19:0
8neBxgTFrzsZ3gT1lX9KAg,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0
X5Q_PKC-AeMrO4uSpnmgGg,6:0-2:0,6:0-2:0,6:0-2:0,6:0-2:0,6:0-2:0,6:0-2:0,6:0-2:0
QMj3DbUwntH6bTRN6PJ-HA,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-0:0,11:0-0:0,11:0-23:0
o848u4i-UGs1vMnYbEVi8w,0:0-0:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0
9xdVIIzHp12Zrox5aFaaHA,12:0-22:0,12:0-22:0,12:0-22:0,12:0-22:0,12:0-23:0,12:0-23:0,12:0-22:0
VmVTDmlLZdwoRVTJO4niaQ,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0
nddvI420y7BKvp6nO8bfMg,11:30-22:30,11:30-22:30,11:30-22:30,11:30-22:30,11:30-22:30,11:30-22:30,11:30-22:30
IzAuLLI49vgqsGrA0GgYsA,9:0-22:0,9:0-22:0,9:0-22:0,9:0-22:0,8:0-23:0,8:0-23:0,8:0-18:0
eJECvXFIUnfcDE6PzKS2Yw,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
llQfDCKPXBW1-hSb_qUC-g,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0
HRZfoNssELsHN0SMmYoMsw,9:0-19:0,9:0-19:0,9:0-19:0,9:0-19:0,9:0-19:0,9:0-19:0,9:0-19:0
joTw5858fDh3Y_rF0NDOsg,10:0-22:0,10:0-22:0,10:0-22:0,10:0-22:0,10:0-23:0,11:0-20:0,10:0-22:0
V9Yta_aOk2-bQm5PiYhOsQ,10:0-22:0,10:0-22:0,10:0-22:0,10:0-22:0,10:0-22:30,10:0-22:30,10:0-22:0
c-Jxth7pZfPqsWwBQ7sn1Q,11:30-22:0,11:30-22:0,11:30-22:0,11:30-22:0,11:30-22:30,11:30-22:30,12:0-22:0
8RFT1woy0WnTp62ndVJgow,6:0-15:0,6:0-15:0,6:0-15:0,6:0-15:0,6:0-15:0,6:0-15:0,6:0-15:0
_aCajJli1gSV4VScB0DgIg,7:0-22:0,7:0-22:0,7:0-22:0,7:0-22:0,7:0-22:0,7:0-22:0,7:0-21:0
vG1vX6vvyK6st5UWetPPeg,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
1CR2ddUcjYYwRd5JLtiRrw,7:30-0:0,7:30-0:0,7:30-0:0,7:30-0:0,7:30-0:0,7:30-0:0,7:30-0:0
M85y1RfSCyWZkWR-18YU1Q,7:0-22:0,7:0-22:0,7:0-22:0,7:0-22:0,7:0-22:0,8:0-22:0,9:0-22:0
i-Mn8RJw5xUkITQBVvcKcQ,17:0-22:30,17:0-22:30,17:0-22:30,17:0-22:30,17:0-22:30,17:0-22:30,17:0-22:30
z85R3JrM5xkudu2SZxObPQ,0:0-0:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-18:0
-rhH9sL3XGFpoJXcxUpEWA,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-22:0,11:0-22:0,11:0-21:0
sR9hPrIaG-J-GLcl4yaiLw,16:0-2:0,16:0-2:0,16:0-2:0,16:0-2:0,16:0-2:0,18:0-2:0,18:0-2:0
3w66rzZq_rjA1kSmVt5Hew,7:0-22:0,7:0-22:0,7:0-22:0,7:0-22:0,7:0-22:0,8:0-21:0,9:0-21:0
PbIjlAXsM99Km2SwrDw4aw,11:0-1:0,11:0-1:0,11:0-1:0,11:0-1:0,11:0-2:0,11:0-2:0,11:0-0:0
Xl70366GI5Qao-ORQYCofA,11:0-21:30,11:0-21:30,11:0-21:30,11:0-21:30,11:0-22:0,11:0-22:0,11:0-21:30
q6xbgvr921AQswzVQ3QA-w,9:0-20:0,9:0-8:0,9:0-20:0,9:0-20:0,9:0-20:0,9:0-20:0,10:0-18:0
ECPWFe93D_VWHfsnkVBydg,0:0-0:0,9:0-16:0,9:0-16:0,9:0-16:0,9:0-16:0,9:30-16:0,10:0-16:0
P1hYLhzT5rHDpzGkYUaarg,5:0-0:0,5:0-0:0,5:0-0:0,5:0-0:0,5:0-0:0,5:0-0:0,5:0-0:0
rDMptJYWtnMhpQu_rRXHng,5:0-0:0,5:0-0:0,5:0-0:0,5:0-0:0,5:0-0:0,5:0-0:0,5:0-0:0
-HO8ejDGgvj_Guw3R6lH1g,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-23:0,10:0-23:0,11:0-22:0
LRWNY71pO1KVOK3P6kam8A,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
oSDZ60KdSkMDQNaHGqvQBA,0:0-0:0,9:0-17:0,9:0-17:0,9:0-17:0,9:0-17:0,9:0-17:0,9:0-17:0
vT812nRctS62PVxUverayw,0:0-0:0,17:0-1:0,17:0-1:0,17:0-1:0,17:0-1:0,17:0-1:0,17:0-1:0
eRjcli4nDHRwhByViUz9Ow,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-23:0,11:0-23:0,11:0-22:0
KyO_DCkbUL1AJSxdgIihUw,7:30-20:0,7:30-20:0,7:30-20:0,7:30-20:0,10:0-18:0,8:0-19:0,10:0-17:0
SXnXItivyE3i3FQbydak-A,11:30-21:0,11:30-21:0,11:30-21:0,11:30-21:0,11:30-21:0,12:0-21:0,12:0-21:0
olllmpQVBHwOQmarQro2fw,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0
tH0wF3EPPgAY14lnmK1_Sg,0:0-0:0,10:30-21:0,10:30-21:0,10:30-21:0,10:30-21:0,10:30-21:0,10:30-15:0
sZ3AWH6WPq38fEKijvl9vA,10:30-21:30,10:30-21:30,10:30-21:30,10:30-21:30,10:30-23:30,10:30-23:30,10:30-20:30
CmzJMXgsD7deXT7QSaLi1Q,9:0-22:0,9:0-19:0,9:0-19:0,9:0-22:0,9:0-0:0,9:0-0:0,11:0-16:0
C9QVknXuoDBdR9CBa_Flyw,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-19:0
z45xS0Kc6GpiITwrpkRVdQ,17:0-23:0,17:0-23:0,17:0-23:0,17:0-23:0,17:0-23:0,17:0-23:0,17:0-23:0
sNVGdeOPeitJ3OWUQBINzQ,7:0-14:0,7:0-14:0,7:0-14:0,7:0-14:0,7:0-14:0,7:0-15:0,7:0-15:0
-OEIW0dO96-492qa_luxaw,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
JcAfn8YTNnoAUk9nGaioSg,5:0-20:0,5:0-20:0,5:0-20:0,5:0-20:0,5:0-20:0,5:0-20:0,5:0-20:0
sWaWTnmRgOt6OE4v84y7fw,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
ruo16t1qd2aywwUE47Ojnw,11:0-17:0,11:0-20:0,11:0-16:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-16:0
R8MlQBl08OICEJOvwsw25g,0:0-0:0,15:0-22:0,15:0-22:0,15:0-22:0,15:0-23:0,17:0-23:0,10:0-16:0
1M-oyCcUluxwTid8vbBSdA,7:30-19:30,7:30-19:30,7:30-19:30,7:30-19:30,7:30-19:30,7:30-19:30,9:0-19:0
8mW3kpRSFvRqFErkNFOicQ,7:0-18:0,7:0-18:0,7:0-18:0,7:0-18:0,7:0-18:0,8:0-16:0,9:0-15:0
ugWB_hkm21s9v8xxAkmNVg,11:0-23:0,11:0-23:0,11:0-23:0,11:0-0:0,11:0-1:0,11:0-1:0,11:0-23:0
DGX2ldVGub9F1EAU9R7C5A,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
oIpR2He8uErAPmdwTwSJyQ,11:30-22:0,11:30-22:0,11:30-22:0,11:30-22:0,11:0-23:0,11:0-23:0,11:0-23:0
3S8nDh3gK2BmG-_HjDjh6w,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-23:0,11:0-23:0,12:0-21:0
fp8h0LdbO5WxiK41oYgZVA,0:0-0:0,16:0-1:0,16:0-1:0,16:0-1:0,15:0-2:0,15:0-2:0,12:0-20:0
k-NEUIXaPnXtrzCo1MeO7g,9:30-22:0,9:30-22:0,9:30-22:0,9:30-22:0,9:30-22:0,9:30-22:0,9:30-22:0
eEKfOX6KtQmLgb8z-1VfUA,8:0-20:0,8:0-20:0,8:0-20:0,8:0-20:0,8:0-20:0,8:0-20:0,8:0-20:0
Bkkwt8E9MHvgCHn4lUFtow,16:0-22:0,16:0-22:0,16:0-22:0,16:0-22:0,16:0-23:0,16:0-23:0,17:0-22:0
i98bG3x6orc9TiIw7Xouew,12:0-21:0,12:0-21:0,12:0-21:0,12:0-21:0,12:0-22:0,12:0-22:0,12:0-20:0
kRgAf6j2y1eR0wOFdzFAuw,0:0-0:0,13:0-21:0,11:30-1:0,11:30-1:0,11:30-2:0,11:30-2:0,11:0-1:0
-BxWyEIQ6wypT-37MzZizQ,10:30-0:0,10:30-0:0,10:30-0:0,10:30-0:0,10:30-2:0,10:0-2:0,10:0-0:0
cXgXRqB40CGHEMKQgxLDTg,10:30-21:0,10:30-21:0,10:30-21:0,10:30-21:0,10:30-22:0,11:0-22:0,11:0-21:0
iQAwmfMPmOaCr5aeahV1ug,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,9:0-2:0,9:0-2:0
s6L6SdVYhPcOQEDmNIg1-g,10:30-22:0,10:30-22:0,10:30-22:0,10:30-22:0,10:30-22:30,10:30-22:30,10:30-22:0
qRymrsLmlA34bC8PvNoujg,0:0-0:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-21:0
aZshH0IfszzZyXkoVLPVuw,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0
YLeAUkFFJri_21uTkyrVFg,16:0-1:0,16:0-1:0,16:0-1:0,16:0-1:0,16:0-1:0,16:0-1:0,16:0-1:0
SQ8Tkavc4TJj-2kanEDzLg,10:0-22:0,10:0-22:0,10:0-22:0,10:0-22:0,10:0-22:0,10:0-22:0,10:0-22:0
Eg76PjESw705exvbt_VYjQ,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0
Q3SdFs_6P3BPhPPywHZqBQ,17:0-21:0,17:0-21:0,17:0-21:0,17:0-21:0,17:0-21:0,17:0-21:0,17:0-21:0
eH4f7_hN8qzamuXBOvVLdg,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0,7:0-16:0,7:0-16:0
onCx6Ye5IwD07emyj-VLrg,12:0-22:0,12:0-22:0,12:0-22:0,12:0-22:0,12:0-22:0,12:0-22:0,12:0-22:0
hpg2c5vFer85hvTnun2mNg,6:0-14:0,6:0-14:0,6:0-14:0,6:0-14:0,6:0-14:0,6:0-14:0,6:0-14:0
Wv_qGcUKptXkapn8e3j6Kg,0:0-0:0,4:0-22:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
1Vvxx-9AoINg8TJXOZgEHg,11:30-23:0,11:30-23:0,11:30-23:0,11:30-23:0,11:30-4:0,11:30-4:0,11:30-23:0
sNHseqXVsFUcrn7o9mCUcg,9:0-1:0,9:0-1:0,9:0-1:0,9:0-1:0,9:0-2:0,9:0-2:0,9:0-1:0
DuI8BlpnRRwsmmVMt7Yiww,9:0-2:0,9:0-2:0,9:0-2:0,9:0-2:0,9:0-2:0,9:0-2:0,9:0-2:0
WN3NSIJQHfxtjf1kV7snVA,11:0-21:30,11:0-21:30,11:0-21:30,11:0-21:30,11:0-21:30,11:0-21:30,11:0-20:30
2ADoawEfSAZpnQSwVEo5Ig,6:0-23:0,6:0-23:0,6:0-23:0,6:0-23:0,6:0-0:0,6:0-0:0,7:0-23:0
kJc7XtQXYit7WNV8m4YDGA,8:0-17:0,8:0-17:0,8:0-17:0,8:0-17:0,8:0-17:0,6:0-17:0,6:0-17:0
X4rqmQMJcpY4EajFAFTSlw,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-23:0,11:0-23:0,15:0-21:0
pUX9gzo1Tf4vRv7hX0eP1g,6:0-22:0,6:0-22:0,6:0-22:0,6:0-22:0,6:0-22:0,6:0-22:0,6:0-22:0
