restaurant_id,utilisateur_id,nb_compliments,date
GHS1rVjO-RMcRB6WJLpCDQ,evDmfYHbxqDAy8_27bAUNg,0,2011-07-18 01:49:00
Mn6PbumS7GL2v3jPilTaeg,T9xfkjF1R0a_fIjZ-7Hofw,0,2013-06-05 01:00:37
mlkVAm2DkGnKnNVR1AnQLA,5G0RQ4kAsBOPSJsKwWnaSg,0,2017-06-18 16:59:17
maIam6HyU4FB_sBIk9ippA,YB2SZbMgQHBOGOIsBK2Tkg,0,2016-08-04 19:10:24
DgnIqlqYXdeg0UtSRaKcLQ,6GJQc7rRKi2AeS1j48LorA,0,2015-01-16 03:40:26
CqVdLcbyZzfAjeCD1qEBZQ,DBTa2O0kM6MqwP6IOTp_og,2,2014-03-16 20:45:34
nwHd2MbIGz0SNG8GpFjekw,uS6-ArpRRwk768bRcU7Hrg,0,2017-09-19 19:20:36
cw8oFCL0BxCQCwwAr8DOOw,rsmGwZ6MhctENKxxYwk4sg,0,2012-04-05 00:47:49
RJOFGZZf3ho04ku0fcFRdA,gwmyGLz4eBm9QiBU_Ze2KQ,0,2018-03-29 23:01:23
-hn7E7b3VwRjwhNEDgmGIQ,V3EJsWicBRxIn0fs85THlw,0,2012-10-26 16:44:44
ugLqbAvBdRDc-gS4hpslXw,EnkN58MPWLAydD1Q8d1LZQ,0,2013-02-07 02:28:43
uW6UHfONAmm8QttPkbMewQ,Fuekh1vNrATMHlE5k2NFMg,0,2017-07-12 21:29:29
sfzX4Ndds39mhS-Chr2lJw,bP1-iaqAuy4tEoviQaxJrA,0,2011-07-14 18:52:31
pomGBqfbxcqPv14c3XH-ZQ,MbKSGBDhCrp-q_tzSkSENg,0,2012-10-19 22:38:47
VcYpdJIoDgwBOdIJ_IvadA,ucj0RT3ZsWHFXQssLq-wmQ,0,2012-05-25 20:37:20
iPM8BXV6vEVEci8ttsOObQ,ewDNa_FRoG71UFm56eTGkw,0,2012-05-20 22:23:30
wWuGa3OOQJro_XGe-GKBXA,KFZISl5mOUJ6bu3qCUrO-g,0,2013-05-12 06:04:45
OiqDNSdnchr8zQhiMSInLQ,A5A34ixb-yy6nwL42iZsnw,0,2015-02-07 07:22:13
7dKIMvsTQI6zO-NYdRmrwA,2cJ8qo5kyqzDQSwWA9MDww,0,2011-07-28 18:33:41
UXFLCGw1yOCajlMONYQM1w,OueXAik2P-eUcXbd1qGXKw,0,2012-10-05 02:45:16
MXC9pwIxovWUc9yu1F8OxA,KrT4LHYdRt-m1DMPtVKN4w,0,2013-08-13 21:42:06
-ed0Yc9on37RoIoG2ZgxBA,dPMW-BVUPFT5r3MgDK3l2Q,0,2013-08-27 01:12:26
AnemBUVAb9NRaselL2KITA,k2ZRBr7gbkt9mUHmeI_Ktg,0,2014-03-23 12:36:43
Lfl9kppQhikig4xI3UdjOA,eRDWzHCldd6YXypRECvHYg,1,2013-08-19 00:12:18
KskYqH1Bi7Z_61pH6Om8pg,dsaj_eA71FvpUh49zzKcGA,0,2014-06-03 18:54:29
AyEtowSGi9vx0-xFfrgjWw,SmSqtDzLMOm1a8tQyvVU_Q,0,2014-08-24 23:48:47
jCpB1D_Hsc_dlF0ErNO-7w,RdgTFBr2xXPrllGhW44Zyg,0,2016-01-13 23:07:04
3IwCop28R1_L5jMv6AkL8Q,2_5D0gR3BH20ktZqBWxr8w,0,2016-11-16 03:53:59
CtZ3HujCLTChyoad_L-nHA,Kq_Cg-INSv4i8wNo1kDF-w,0,2016-05-19 06:27:29
aw0H9O1yysoHB0JanT0Ubw,R-WSKg7NjGyBwIjN4q47xQ,0,2009-11-07 01:49:34
wjf1uZNr6E4LQ0nUNHX5AA,i3dMdhl6QEsliR60A5Bt4A,0,2016-11-30 18:41:43
wTjvgkUJMVWrYed9mXdQjg,q8l8PhQLOyQhdncBS0GCIw,0,2012-07-27 20:18:48
tGLz8WfLwSi221wgNh-0qw,9uKbKAfG_N2MrXDZdUuV3Q,0,2013-05-20 23:34:57
ruWTngdiC68O9la27hvvHw,eXVdbhzZGvIVbqVJzP2bxQ,0,2012-03-31 19:48:39
klddGAcNIpE_aB5sd1hNXw,Fw4UjJ6yBeyPB27Y4wwEUQ,0,2012-07-28 04:03:37
aw0H9O1yysoHB0JanT0Ubw,UkCryqIr1K8Fo-i3FbbFmA,0,2016-07-31 21:40:06
pomGBqfbxcqPv14c3XH-ZQ,FIk4lQQu1eTe2EpzQ4xhBA,0,2013-08-25 07:19:29
cQNGkOyCvnIqs78vO8SGJQ,M7PSo2JP6TmWx-aRtWdUVg,0,2010-03-29 03:58:00
DQf63-KJ25m-kDIMto614g,JVbqMyicxGWlEVPpyo6gpQ,0,2010-03-13 16:35:01
RQTatUj2f9Nz9JViTH4aAQ,nXMMoDzXRByQiWH9cf-FAQ,0,2012-01-11 00:51:38
1SCETxRnwaYo2aBC3fi4SA,KtIh1kjkVESCqd2CCsQnhA,0,2016-07-31 19:08:02
B7qQmqD9H2UoOpShmHTfZw,90ZtCUwxXjUBvrdBgyWYyg,1,2016-05-02 19:46:55
AjWFFZN8KwyqJzzi0DyEsw,d-784QgFNg6we_hsmLs_-A,0,2010-04-18 04:11:16
ye0-f9tgMC2UFyraGcJWLQ,cQK407Dkqyi9pf4Bqtum0w,0,2014-06-03 01:48:04
Xww2E2ym5cWX3-91Ml5Bfw,4W19TqhxC0zt4eaJVIdc5A,0,2012-03-18 05:01:27
6fPQJq4f_yiq1NHn0fd11Q,kW2dk1CWihmh3g7k9N2G8A,0,2010-02-26 01:46:43
LwQB9H3jZ9wTk24Lr-AnZQ,vuuvDlv1t8jZlNnikbdDEg,0,2014-03-16 21:35:25
ug_NBv4W_5fZf3hi2h2U_w,AlXx0P-OhUylep0jNi773g,0,2010-02-15 02:17:35
ZiD-51ZPmx682EItg6Y3jA,5gYF8vCPu6bs7kJ4dIB-9A,0,2013-02-19 01:31:35
stbX9rtRIpDF-VymOwHJ8w,o4sfrn1ziZ-7yasx2127xw,0,2011-08-11 08:28:17
GHS1rVjO-RMcRB6WJLpCDQ,V66QZYkxG6FJ03nvf9SMIA,0,2012-01-01 22:02:30
agGJSdMTRrkA6VrYMbC-SQ,Y8adrWFzckrjuC11aAs9Og,1,2014-09-08 21:22:23
icsmeOong1Ac5AcwKKuqgQ,Ozmf732ox-TNhfKrjWBXpg,0,2014-06-08 06:10:28
N0apJkxIem2E8irTBRKnHw,fAPfgpJo_0xvU98ocYrubA,0,2012-05-28 13:57:59
RNi6tW22UMgHwWLAb0mYdA,29KnJybaavIMuqTetQZogw,0,2012-10-07 03:47:51
Q3BUdZTMw8KRd-3QYtTyAg,m7z-tX6XDZ27xGhGjnI21w,0,2013-02-08 01:38:31
Lw9EBaDVg5R36dIE6N2oqw,Obh34RuSKoIorSY7pEPEyw,0,2012-08-03 04:38:21
e5Qw3r7mkwPLcdDzZzTeew,Sme_0jk0mJPWIMjGzKqBbQ,0,2013-02-10 21:25:32
JfHXzulF6yIKgA22YYPedw,dIIKEfOgo0KqUfGQvGikPg,0,2010-11-21 00:41:36
8YJOMfdnk42v3PvpkDxJGg,y3FcL4bLy0eLlkb0SDPnBQ,1,2014-09-19 03:14:18
QTH_XGh4rWYdd0fTW-tUDw,XPNiTbrKL7f0_6L0lrbZlg,0,2011-12-30 19:49:24
O85iR6k-pDHpRFwXlppdSw,RDtoAKtFjv632JvVtguMZw,0,2012-01-07 21:39:16
e59uNE07Gf-yrIl4rX3KZw,eWD-kLqwCf1MaZxvO4yDLA,0,2015-01-17 19:22:39
7dKIMvsTQI6zO-NYdRmrwA,exib1tEtfch9DumbyanNCw,0,2011-04-22 23:41:06
CgnHLwWbteqb8qxcZgBLyw,zh7sSdnM3CefK8RBRWahZQ,0,2011-04-14 02:53:17
BzqwAx_KlRPAMGXw1xHXag,A2jvkL3yskY_C6zFkmAqiQ,0,2013-05-29 19:20:37
c5TOGBUCCUUNBPM7h_KbmQ,aWXGwath_dSGPwNdFiy9BQ,0,2014-06-05 00:33:03
GXdnO7m8X4tjVl7MXHgN4g,JHFuMHQBLuQ3TtkWwx1bmQ,0,2011-04-16 23:35:09
wWuGa3OOQJro_XGe-GKBXA,QzXS25_FwIUrYTyDMZkUQA,0,2016-01-16 02:37:16
wXXqG4igJeJwL9o5sjyMXQ,OHK6Ic_73DqIryviNe88eg,0,2011-10-01 22:31:20
82YGtjc5KKikNiqBZ33qzw,eZZyuJDouIg4p-GYB3PV_A,0,2013-02-14 01:27:04
pYu6GDIfdK1RfwgUKeeDYg,i6w0VfTvvvbPk6Rj2gsBdw,0,2018-01-14 20:19:09
uW6UHfONAmm8QttPkbMewQ,825Ol4rTvAZnUyFMke37jA,0,2017-02-04 00:17:03
eduRavkml8awmPachSZXuw,DrftCOvq0Inf6fxUuuw55A,0,2017-11-19 05:50:59
-ed0Yc9on37RoIoG2ZgxBA,JRYKceaF35Lo2QQLOFbjpw,0,2012-04-25 18:33:41
cHdJXLlKNWixBXpDwEGb_A,j7nr4cRMxxgenc_ibg-Jcw,0,2010-11-29 01:14:54
tA5mqEP68qjbTFK9c14D7A,yMT85uDGS14PbjZw-Y6v3A,0,2014-06-18 05:21:35
cOJ1uIVIHCiefUyWG2wDfw,chOnCyaKp3yeZZFlB0_zSA,0,2016-01-27 00:22:36
PQ6pDjHP0P28D3CY5UNxDA,umvp2ZRc1R_lA-1f7nnTEQ,0,2015-01-16 18:41:21
ghVhlFpNhfBwWDFGSlt2JA,k-35KEBzHxuchfV8Y2WdjQ,0,2018-02-02 00:28:43
IFvBnwcWJ54BgMzVnCxIrQ,7m4hy4IKBCuwNNzvM_aY4g,0,2018-04-27 17:59:10
3QQEc5QUP-h6LCkUZQEYQw,bD3FWAYGLQgJKye1HWvEOg,0,2017-07-03 17:45:28
t43XJ7we7RugvqM5ytr_WQ,7bZ5RldXG9--Dbb6iBDdSQ,0,2012-11-18 05:17:42
Jur1iiejUFw_YCkfDfy1gQ,aPbSWUgkEM9o__5W4NaEjQ,0,2017-03-08 23:05:13
GJBLjDkfJ4tvkpAjDeCikA,BwkF9_GjzmH_nyqbb1NA_Q,0,2013-08-24 15:06:34
NiQ_3tXqkoe6GaQ5w2sHaQ,k1FxBPNVosnWJHttRNdvPQ,0,2012-08-03 20:57:54
2rvBPUBtQU0WfcOAHLQWRQ,96xXuvVkvyt8IoQES21-GQ,0,2016-12-01 05:26:40
Jm_bARKbaZyzoxatBrmZPQ,qmuCid52Y-SaJS_6v2CkNg,0,2013-05-18 22:47:21
uZ0C261kg1YgvTMTEmIL0Q,hyJiSA9B91qAzRXvMus62A,1,2014-06-19 03:11:36
9XelmxS5q9tv7uClvjGqMg,vWUj8ed8ojO8CctKP-mwxQ,0,2011-04-21 01:03:06
ostVuyoxxQiP3Qik_L7nPA,AeK4R7na2pH9871OBoQU4Q,0,2014-03-23 05:27:29
YNDxeeRUARbd8GRnscJSvg,tLINWs_M06A3vxg4AUnDFw,0,2014-06-15 04:07:39
7wHLFohwCw8l6WS-feLjeg,4mSdZyA7hut2s5t5WHR1mA,0,2017-09-26 00:15:25
sBQA33hT0VGJHh0a5ERkPA,Fw4UjJ6yBeyPB27Y4wwEUQ,0,2011-12-30 20:07:16
2iLeiQ4OCJVwfodR9egMag,gH3JDpHQfVcMEGaAaCJPjA,0,2012-01-01 22:26:39
cQzFj5GNz8l_VMJJnW4mLw,k_RAP79mZjpwQw2NMDJrJQ,0,2017-03-17 19:09:49
SJVrnBT80VtUScxxIofB-A,j0X-fLIBoGciGS17WC-V3g,0,2013-09-28 22:17:41
tnZ_qZtKcrCWXA8XUMRF-Q,RB3_GtWgvQYTLu3bxY2-VA,0,2011-07-11 19:03:26
3Hu-IPhq5I_jyb3YfeHpGQ,dIIKEfOgo0KqUfGQvGikPg,0,2014-03-27 19:38:05
RhEvP5flF6KoPriMHmVYGg,bTTZzC8RvTxTOeGMvJ5icQ,0,2011-04-16 19:05:34
Xspg78dOvuedvuPEUwZBjw,ZQ_N2qD-5xqnalgMDUQr4Q,0,2010-11-30 04:40:40
3oTVApC-eUzpGjrOVxIr5g,GbPXnuMsGzWVgzeVit4RJg,0,2017-03-19 23:40:08
TrGBHqHVzJM5tk2C1D1ctQ,Fv0e9RIV9jw5TX3ctA1WbA,2,2015-02-25 11:59:53
Lqp3uwGJU6CHyys-eerMmQ,wdiv0Aw82K1Ic-VzXjYj9A,0,2012-01-01 23:09:26
Yl2TN9c23ZGLUBSD9ks5Uw,8u8TiunwRycC2n9V5mU5Yg,0,2016-04-29 01:51:10
esBRj9uPRzwxaW4Lz1XGLA,cKn-r5QruiLq3DwDVKkv1w,0,2013-02-18 21:45:45
tNky09c0HBYiHxizht0gCQ,HEvyblFw4I-UsMqgPGYY_Q,0,2012-08-05 03:58:50
A5Rkh7UymKm0_Rxm9K2PJw,WRiS2BiHblDHN-9SQlR_BA,0,2013-05-27 06:03:40
5ZQmIhBVOelUScK9UbSUqA,1i3QHGzGdfZ691PvxBKesw,0,2015-05-27 19:21:53
7sPNbCx7vGAaH7SbNPZ6oA,TFP_IWKqkGh11AkGnnYHLw,0,2013-02-09 22:58:16
SDaO5XUo3NIavCCnnl1lDA,fTOYdBep0l335L3S0bt9UA,0,2010-11-27 19:39:09
VAhDMG64OqR3WNODHMhMtg,s5hemOR2IxcW-0MYA6hGug,0,2012-03-17 02:40:05
SEvUFPydtLJ5eExD32Agxg,pVj37cy4Y6FfH9YIlEhsZA,0,2013-12-11 22:59:07
A6upLxml9nNaVT_V3oIUkg,EK4B8i9FJfw539XnWGAV0g,0,2014-06-18 16:40:56
yz3JQk5Lqbin8mtNfDcy_w,axGqLJ9UWb7P4sBXafOeeA,0,2013-02-12 01:37:16
CiYLq33nAyghFkUR15pP-Q,d8KR5c1ievS0C53h4fhEeQ,0,2015-05-16 19:38:36
JDZ6_yycNQFTpUZzLIKHUg,UsalxWCBMAFkIv6K2psvCA,0,2015-01-17 02:59:24
lAR6Lj6-zBxQNqflZt0zTQ,sKiHN8YAavBvWC0DsT5UOw,0,2012-06-11 01:14:14
0XEqyl_lVaJNHRKxNcjJZg,vWUj8ed8ojO8CctKP-mwxQ,0,2011-07-12 21:46:19
0WoQQlMXVIDEgI0xNdENKA,N1sKQSVAll7UurvCz7-RYQ,0,2013-08-20 18:03:19
p5rpYtxS5xPQjt3MXYVEwA,ALw8EN21lby0vWtfD6JfIw,0,2015-01-10 21:32:22
wHq1efQVz17338k_aUOX3w,MNFwImZB5c_I6S9Z-NjUkA,0,2013-12-20 18:21:38
iB9By3dVS6BydSUiDHxLyw,Vy4Y00GzBUQvLyY-XqXtSA,0,2012-06-02 02:03:47
PLVJCN2p1MIkeDzIbAx9kA,WaAOt_eG0_-yLpG3fI--3g,0,2013-08-31 02:38:01
3FlWR_osNPb8dcqLgHebHw,rdysF0ymVkMX82Bu_8x3nA,0,2012-05-19 22:56:29
hH8002bWtOFYtLgarFZBsg,x9V7ULRHEGavQD9lR1U0zg,0,2011-04-30 19:00:50
bpRo8L8dkhgbJhdIKa9mwA,zUKeZNu4tCG56xjwWH54Vw,0,2017-07-19 03:07:37
kfo1hXvNtGGThfrZGaWtVw,P9yweXls2Pg-EMipYr45XA,0,2013-02-11 01:29:34
y8d90Pt16Nip-B5UXWBP-w,ztKdCT5La4wX8pOPutJBJQ,0,2011-10-06 18:42:27
A5Rkh7UymKm0_Rxm9K2PJw,Ovmw7wC78-PD8BUDS3xM5Q,0,2013-02-13 01:19:17
dzKDFiWLkspVBJKGfT0M2g,mZRv579CnBtG--OheLP_bQ,0,2014-08-24 20:58:15
DkYS3arLOhA8si5uUEmHOw,xj4kmVaAsLVr5o_6WYj5LA,0,2011-04-26 22:24:24
NPiLy71qqXzb45k9eQOgCQ,5uiCy0vSIknuDEHc7yHRkw,0,2011-04-07 23:39:46
Gen0ei06dGq13OJ8DRXUjg,-2gOxVWcnBr5DclrrsWXCA,0,2013-06-24 02:36:29
YNHvFEvp9VDNwX5VhRanYQ,UZgYI5HEamlQunGmejLltA,0,2011-12-25 01:00:13
dJnF_GUWdoX3tUucpKbYMg,B423jsaQkyodGbGyiIGLXA,0,2013-09-01 19:33:11
6W3hdaCjx_n1kADEuORduA,VCUCCGfjUFtN8PXDoqY-Xg,0,2017-03-26 04:22:54
qgng2rCxAPJr2YQZZp2mdg,5cxk_eDtMKHU7YOnZHzzsQ,0,2014-09-09 13:23:57
uW6UHfONAmm8QttPkbMewQ,huXqrSaGyNO1aZKiM55EUg,0,2013-02-06 22:01:46
iTCH7y2KLRMKMxdEkgUK1g,L3DxG0n3lRq5N2lv1QNrrA,0,2015-01-28 19:05:27
QJR4qBUHegWEozSQrGmBPw,uEvusDwoSymbJJ0auR3muQ,0,2012-03-17 01:44:01
y-ytZFbfRWvYma9P4g7AYA,eLxR9WkbmMfRKLOKDabr_w,0,2014-03-23 06:56:41
T3C5Mq-QxshN7qH_HPQMpQ,6ZC-0LfOAGwaFc5XPke74w,0,2013-07-29 16:50:57
k4jX-Xe9dFu2pmdnlrcwgA,QMHj8sWoO5PLT7N0_dUtmw,0,2013-08-24 18:34:12
a192hdM0_UVCYLwPJv1Qwg,CrtpnkrmyrG6ZcJf_zEi4g,0,2011-07-21 21:08:40
zV38gkkEeJ4cVRlSWWQTfQ,EfEEUcN2zqnnnpohD4yHxw,0,2013-06-02 03:05:02
zdE82PiD6wquvjYLyhOJNA,A1AHzu02r4byRiH9ZDUs3g,0,2011-12-28 04:56:02
_MHUEErH3KW_KvVSOjyYhg,SnqFX90Dq9uepttwB1Xvdg,0,2014-06-05 02:02:41
5aeOewSy4RiI8sLLWpeNGA,V5k7_bxn26hZrZHbAJQp8Q,0,2017-10-03 03:44:23
cXdQ3H0GqcIzRgrvBEaBxw,MLPXZN4P0RNAiOLY1HKiKA,0,2013-03-09 02:47:24
C9ImzBi5fn742ZcAYDww2A,6fnOeadIoHiF98bwgp2QcQ,0,2015-09-26 19:04:48
olmCDBoMF-EhN8U2livBSg,VTbkwu0nGwtD6xiIdtD00Q,0,2012-08-12 20:42:42
v_xuLfW7TXBsQctpOuPvQw,ukp5bUGNcvl2OWU5CPG7fw,0,2016-01-15 02:51:24
aJK0MWXKgXIgQUCM9fqSJQ,QFYT4jsU_MYEjBIhvHNQGw,0,2012-10-09 04:53:13
7IkSGKKiWhfkXQBCT8EOgA,6kvGowEk1AvUUwWHLkJyNg,0,2010-11-22 05:13:08
_OTl6V2oUfMMmoDWD2nXVg,p_QErki4bI6Ni598P0QX9A,1,2013-12-04 00:35:12
gKFDJ9IpFxt95DHxTN7ZHw,uJeK3DSxfnm39cFRJvqtbQ,0,2011-10-08 19:46:21
nUaLFTfUqVKMFQonsWBnag,unY-F7AsYkQDvILMpd3jPw,0,2011-10-08 04:44:26
b3vRI8yXNK34hgC0Wd4Iag,j2RIhSkW1a0_bQ8lKINA8g,0,2017-06-20 03:45:55
0Buxoc0cRqjpvkezo3bqog,Wi0VgIrbb8vqU6weyVw6tg,0,2011-07-15 02:11:21
-ed0Yc9on37RoIoG2ZgxBA,lsZlV02ZdqEzR-qILdT7Cw,0,2012-06-25 00:36:55
qqs7LP4TXAoOrSlaKRfz3A,qKJEQrFtW33HWqKzvn3U4A,0,2013-02-09 19:28:28
JDZ6_yycNQFTpUZzLIKHUg,MF6hGVEnsWqhoPLB0g0wTA,0,2015-06-01 19:21:44
oZcbn7ENit23xbCsyu9xbA,TfKRp73rhUhkcLL7sizjYg,0,2014-02-23 00:44:50
NFMD_-wFrbfdhTcdHPDCZQ,ObQl16Vuc4sHPGKtzSGNUw,0,2013-11-25 21:58:16
SqxIx0KbTmCvUlOfkjamew,tt388DQMt1hhvnmyLbwvNA,0,2015-01-12 02:47:31
ostVuyoxxQiP3Qik_L7nPA,4Y_Mo5HjkG_FHt4ZCNSruQ,0,2011-10-01 01:29:05
Uw-kIS3HTuAohfg0edQZ3Q,ZbABA3nvcvoHu89pHK_k_w,0,2011-04-16 00:16:01
fSBhe0A6Dfa8JCYccfpMog,Wxdj4Zui4VgbMR4yvCERXw,0,2012-11-01 15:25:29
fWEfX14W2_7GDOJBSQQU9Q,g9KzKQHuHfUE85nnUPCKfA,0,2012-07-27 16:26:57
mUdalYTuAtnZm2K9zoH27Q,HHxkcUhkbDc7Gaw8PK70lA,0,2012-05-20 01:46:37
u12UCVo-zyFTX2Nxf_n63A,jhL1t6FzBFL3IhTI8dkDrw,0,2016-01-04 19:53:09
9CYZaEbU3KjdLFMkKbUXVw,KfsS3nxwuAYeTWgVPLm12Q,0,2012-03-12 23:27:57
eoHdUeQDNgQ6WYEnP2aiRw,GlGAP-Ku2v2DrT4yIN_rKg,0,2016-01-23 20:10:22
9edPSkfXKsJmkZYIaOmA7Q,fZY97UjlP-iv35beOl_OfQ,0,2014-08-23 01:26:49
5xCeuEI7Einoi5xYsNuDCQ,UkLiM2r9UcVXdx81JPGZyg,0,2011-10-15 00:10:05
yb7ZtgMWSZboG_sSUx9g2A,Olo_x4fV1sFBtlj6COf9Wg,0,2016-01-19 19:28:09
1jpYP-JNOEYCMIzP4OlGuQ,m9zEdp6EFnu4J34ddvTGDw,0,2016-04-29 19:56:37
sNVGdeOPeitJ3OWUQBINzQ,CNaaizAUc2c4WIb1M3BBPw,0,2012-03-18 19:31:27
-ed0Yc9on37RoIoG2ZgxBA,CNaaizAUc2c4WIb1M3BBPw,0,2014-06-03 18:58:38
Hsn3CYnTsrQ2nJzTKefDQA,liWnObQxCckRGAyFbaI7oQ,0,2017-09-26 04:59:44
7oEKIG7d1ttPRejppZ3WIA,Nr2uHirba5WNcG0vOXoVDA,1,2013-12-07 17:39:27
SvW3WsatQWvR8c1iwAD_QA,eRDWzHCldd6YXypRECvHYg,0,2013-08-25 04:20:46
hYX0z2C6Th5XmcrKOP31fQ,CmOjOZEbEceR-GgOPKld1w,0,2016-08-12 03:10:57
SqxIx0KbTmCvUlOfkjamew,8dxkcmAXY4ttrVFD1GhbdQ,0,2016-05-19 02:58:16
EcsUxHW1keLUl5w-3ZEbAw,AuC6R6-F2tZsISm7NIriOw,0,2014-06-02 23:59:43
CVRTly4ag_q5ua0R3iqrVw,_VMGbmIeK71rQGwOBWt_Kg,0,2015-02-02 07:51:59
uW6UHfONAmm8QttPkbMewQ,IfD6QuyVdEvJrlucIJlexg,0,2013-12-03 13:19:28
GDsgQywUMunaLcu0RkotZA,mKl0XBCWrNQEMgaHHmcNPg,0,2012-08-01 22:04:51
y4N-fSlQDx2wRU51l0z7ZQ,wfx2G50lMeSK_kqcQqP0lw,0,2010-12-16 02:31:20
UE3AvVnaPEBPneVahYT2eA,yhZZPzv9PdDLZ49yTugt9w,0,2015-02-14 03:38:59
p9v9Sl2g_ibaajWvO0NjkQ,mrEoKZsYtSgMJsIuLr_oTg,0,2011-05-14 03:06:52
r6jbUGiyoN05mZ13apQGgw,D43OWyfzIQjL8feJpYh2SQ,0,2017-07-14 17:18:00
e1_gISPV4RpFRjdNHmuodg,_ir8NHMtV7KPTwmBmlkmQw,0,2012-07-27 03:45:10
kDFeGBX1vWiDyJXMYRL0_A,OfhLNIRdShIOVX5n289yvg,0,2012-07-30 16:11:01
KHROx3AxX8btg70JDPbIqg,zh7sSdnM3CefK8RBRWahZQ,0,2011-01-08 01:31:10
QteBKpZTRa2dJ3u7MLiXww,bCHuMhmxFtkppY9DqIbbhQ,0,2011-04-15 21:03:49
fu8ZdJMcX6GSVf3BbWOsgg,9VSF4TdGoqX69qWTMuKwaA,0,2012-07-26 00:44:01
cTJjTKz2huGZ-ElScC2pSw,9VSF4TdGoqX69qWTMuKwaA,0,2011-12-27 01:37:24
eJPckkV1k7gn0V2awA1pzA,UzcvzQlG7jsVGIsI4H7cIg,0,2016-08-07 06:39:50
lweobd-AOEP1lYNTfhuHhQ,xczZYPorpzE8AqhNSJsJEA,0,2013-08-18 07:02:31
5Dccw539NNtnyCgTu5ed5A,DXrURP4M_Uhmb3EqyYZFHA,0,2011-05-11 03:07:10
8F-UdXe_YylX3k0L1SEiRg,WpZTKVU09--Fb2qFneqkZg,0,2011-10-11 18:59:54
AQKOuwrOCacAhd-jfFMABA,RHhvvRSsj85q8MhQbG-DkA,0,2011-04-27 19:09:18
D05AYYIhdkTN1hk2PwYxJw,vWP8-aQX0rYJszqkWVL7Ew,1,2015-09-06 17:28:05
zlHSnkKKZLtkaX9CljvryA,ACUVZ4SiN0gni7dzVDm9EQ,0,2010-04-07 02:40:09
dWrezcuIAO-Ckx1W0gu5jg,eZfHm0qI8A_HfvXScwIYsg,0,2012-05-22 20:19:47
NGm3x2GPrwBt6Wez9rKPMA,22weOroYpkDdxp7sY-7kVA,0,2017-06-22 20:39:26
BcW7Z9lPmOB_8eS2lEuOqQ,_2Sa7pq5z2XOUhS9DOCGHw,0,2016-08-02 15:03:00
NvKNe9DnQavC9GstglcBJQ,paNtPIcJtA_7TqwC8q27-g,0,2010-12-18 08:49:49
-oOKqZbYDt08zaWWyLZNIw,3uvjaCG0VzspLa12e1MzcA,0,2017-09-28 19:35:42
PSUOncuqfqHulYj_fusthw,7DOF-nczmkmhP0b_tHxwlA,0,2014-08-24 23:17:28
64_y0ZgHl34uOzHNnSnd1g,5p3kWmDzPWQypUn3lCzUGw,0,2013-02-09 21:06:46
Zqf9RJexzqqynVAR4WHEFg,Q9mA60HnY87C1TW5kjAZ6Q,0,2013-12-15 02:12:44
6oLnLmdo9FhuAeR-vLQ4tg,yvAYprNnakItO2O4zjDHtw,0,2011-04-16 05:08:48
mwERWE8IqgcmPHg3cpCfNA,iAevEfcmtCr2cpd6IRqnTA,0,2010-12-20 21:30:08
NdUuGRxEH0waBQbL6R7mmg,SvkOt67Q4pOw2oviK_13og,0,2011-07-13 01:42:23
Orgm9nmcClxnAUva4nOKyA,y05H_1uQhO4frLTJ5_tGCQ,0,2015-09-06 12:03:44
