restaurant_id,nom,ville,moyenne_etoiles,zone,ferme
CDxxqyH-Gn3luPA8CtlPRg,Red Lotus Asian Kitchen,Las Vegas,4.0,89109,0
1PfNM_6ouYvNEbAukY76EQ,Kailash Parbat,Toronto,3.5,L5T,0
4v0aj1VWtNwvzOeQ2Ohzrg,PT's Gold,Las Vegas,3.5,89178,0
GqsxdLPqT9XoJ8LFzxGPcw,Mum's the Word TO,Toronto,3.0,M6G,0
TvOE5wiluPOzf7kbQthVjg,Subway,Phoenix,4.0,85027,0
MO8vR9uw--ELG5J8CbdZCA,Chi Town Dogz,Phoenix,5.0,85016,0
ID5wWJ9C7G0hfbQilvlfxA,La Comida,Las Vegas,3.5,89101,0
GPVnzRcvlhEK0-c6PImyoA,Einstein Bros Bagels,Las Vegas,2.5,89119,0
5PlbORAcmUAJ0QCMJRSmDw,Imperial Kosher Market,Phoenix,3.5,85020,0
QaVaKEvRFX6LTM3ier5Fgw,Villa Madina,Toronto,3.0,M5C,0
NXcV1HuXbfus0QNdI6UpOA,Sweet & Spicy,Las Vegas,4.5,89147,0
iHo_6xcSj3TvHc8cTU__uA,Juicy Beets,Las Vegas,4.0,89169,0
bJy-0_F6V7ZX4lz1yU1k8g,Yogis Grill,Phoenix,3.0,85004,0
Piw03nxAXZF86UYaVrDn1g,Sbarro the Italian Eatery,Las Vegas,2.5,89123,0
LpwmR1unntc_8KdVfwNH9g,Bulldog Coffee,Toronto,4.5,M5H,0
2rvBPUBtQU0WfcOAHLQWRQ,Crunch Donut Factory,Las Vegas,3.5,89119,0
0YctfylXsdutJo8qFYnZJA,Westcliff Station,Las Vegas,3.5,89145,0
d84_mtSFHt8xgYTly2T-9A,Sushi Time Japanese Restaurant,Toronto,2.5,M5V,0
_fWZH1p8B_lwK4feQgtWkQ,Ritz Bar,Toronto,4.0,M5V,0
9h2FCxdB5uk4bjX3P47L9g,Jersey Mike's Subs,Phoenix,4.0,85058,0
nIMJUT4uZjK7BNhjWhubCA,Daily Grind,Toronto,4.5,M6H,0
_e3rChyednoh47n2cjGv2w,Adela's Italian,Phoenix,4.5,85018,0
p8AwMheeFJ_8pP2EpOAPsA,ASAP City,Toronto,4.0,M1R,0
hjDCsuzS_yU60FFffqpt-w,Hibachi Grill & Supreme Buffet,Phoenix,2.5,85051,0
EVlKBiHSr2ZUk9GsWwW_Yw,Once,Las Vegas,4.5,89109,0
v1cbdKF5EjgWSwutjzg-WA,Jersey Mike's Subs,Phoenix,4.0,85016,0
uW6UHfONAmm8QttPkbMewQ,Island Flavor,Las Vegas,4.5,89113,0
3oTVApC-eUzpGjrOVxIr5g,The Cheesecake Factory,Phoenix,3.5,85016,0
q5xrVJ4kivx_yEfJeOKNYQ,Bar Isabel,Toronto,4.0,M6G,0
2izBtfTAHSqhdT9Ym88iyg,Founder Bar,Toronto,4.5,M6J,0
67X6JB3kvZ2B_p8pucgNXA,Kona Grill,Phoenix,3.5,85054,0
-XKG6GamlSBwy5AcXQGAfA,Rickenbackers Cafe,Las Vegas,3.0,89191,0
XcwfRFj02ldM71WaeUYlCw,iCater,Toronto,4.5,M4N,0
OcNrTDq17-pqNCylCeTGIA,Little Caesars Pizza,Las Vegas,1.0,89104,0
oBdseQ_SP2Du7oY6-0YUSw,China Max,Las Vegas,2.0,89109,0
RIkiTtRMZASo7DmKd1vd5g,Rialto Espresso Bar,Toronto,4.5,M5H,0
KN0gPRzDvA6uVYims2KA0w,Rosemary & Thyme Family Restaurant,Toronto,4.0,M2J,0
VrwgzhOy05GpkEwEsKWTDA,Harbour Club,Toronto,3.0,M5J,0
vl1aHp6pvnSmpoRQShWLjg,Lucille's Smokehouse Bar-B-Que,Las Vegas,3.5,89135,0
T5G-WS6ER0TZ4aZou8Kbfw,Freshwest Grill,Toronto,3.0,M5K,0
x8b12bxgvyYBFXRq0AIN3A,Umi's Kitchen,Toronto,4.0,M5A,0
QMKgn9p_hRUlumBDAAfWlA,Cutting Board Filipino Gastropub,Las Vegas,4.0,89128,0
4xSralBJINSqnZaarAUYrw,La Prep,Toronto,3.0,M5J,0
_c3ixq9jYKxhLUB0czi0ug,Original Hamburger Works,Phoenix,4.0,85007,0
eqg6UyuVLwzAplUvN9UkSw,Lisa Marie,Toronto,3.5,M6J,0
SzhD5J80IhpyeBftzQ950Q,El Pollo Loco,Las Vegas,3.0,89104,0
g6B5hVt6oZRVO2wR4f0sNw,Duck & Decanter,Phoenix,4.0,85016,0
f5O7v_X_jCg2itqacRfxhg,Sansotei Ramen,Toronto,4.0,M5G,0
X54yOvzhEKyAurDOeQ-BkA,QDOBA Mexican Eats,Phoenix,2.5,85017,0
8t4RND0dQhO0MBvyuMVkKA,Engine 1 Pizza,Las Vegas,4.0,89106,0
maIam6HyU4FB_sBIk9ippA,The Lodge at Shelbourne,Las Vegas,3.0,89139,0
3pGA9YGsDLRQ7HJLw5cwcQ,Yunnan Tasty Garden,Las Vegas,4.0,89146,0
ZoCCW3R_LEAzktU0rMbX8w,Chipotle Mexican Grill,Las Vegas,3.0,89148,0
fseN-tYwcbjtYm7DjjEjLw,Wang Express,Phoenix,3.5,85032,0
Z3L06hS8FCJpfEMZXX0udA,El Kiosco,Phoenix,3.5,85019,0
auDjameQ8PKA2cIwyI5uQA,Filiberto's Mexican Food,Phoenix,2.0,85021,0
Qe71AVaQZW9EbATLpCec0Q,Fulton Fish Frye,Las Vegas,3.5,89136,0
HhVmDybpU7L50Kb5A0jXTg,Guy Fieri's Vegas Kitchen & Bar,Las Vegas,3.5,89109,0
aFQQMQlUIW9KajS6oH5kyw,Domino's Pizza,Toronto,3.5,M3H,0
2G8YLx7J8du260jFNjIjZQ,Gorditas El Tio,Phoenix,4.0,85032,0
TSNvD7vyrknurZ8H05iyVQ,Port of Subs,Las Vegas,2.5,89119,0
0IjBFHFm8M-VPyym-Xrkhw,Tower Pizzeria,Las Vegas,3.5,89104,0
dYJ7uBteyJiNHCLyK1ZOoQ,Kenzo Ramen,Toronto,3.5,M6J,0
fZVkbNNWjMxuWzNi4Uvufg,Lenny's Burger Shop,Phoenix,4.0,85029,0
8neBxgTFrzsZ3gT1lX9KAg,Thai Room,Toronto,2.5,M3H,0
X5Q_PKC-AeMrO4uSpnmgGg,TGI Fridays,Las Vegas,2.5,89122,0
QMj3DbUwntH6bTRN6PJ-HA,Nando's,Toronto,3.5,M6J,0
o848u4i-UGs1vMnYbEVi8w,LaoDiFang Asian Kitchen,Las Vegas,4.5,89147,0
9xdVIIzHp12Zrox5aFaaHA,Pizzeria Defina,Toronto,4.0,M6R,0
VmVTDmlLZdwoRVTJO4niaQ,Jin Mee Korean BBQ Restaurant,Las Vegas,3.5,89136,0
8VHLeEC7kH6nwn1HnqwMKQ,Dang Good BBQ,Toronto,5.0,M7A,0
nddvI420y7BKvp6nO8bfMg,Golden Rice Noodle,Toronto,3.0,M2N,0
IzAuLLI49vgqsGrA0GgYsA,Lo-Lo's Chicken & Waffles,Phoenix,3.5,85004,0
eJECvXFIUnfcDE6PzKS2Yw,McDonald's,Las Vegas,1.5,89110,0
llQfDCKPXBW1-hSb_qUC-g,India Palace,Phoenix,4.0,85053,0
HRZfoNssELsHN0SMmYoMsw,La Casita De Do̱a Machi,Las Vegas,4.0,89104,0
joTw5858fDh3Y_rF0NDOsg,Carlos O'Brien's Mexican Restaurant,Phoenix,3.5,85054,0
V9Yta_aOk2-bQm5PiYhOsQ,Panda Express,Phoenix,2.0,85033,0
c-Jxth7pZfPqsWwBQ7sn1Q,Yonge Sushi,Toronto,3.5,M4N,0
hL1r-Mh-UPOQJ7tbXCd9Yw,Track Lounge,Las Vegas,3.0,89119,0
oGYXSVs0ympLy0ur8Qnp7g,Taqueria El Buen Pastor,Las Vegas,3.0,89107,0
8RFT1woy0WnTp62ndVJgow,The Blue Skillet,Las Vegas,3.5,89110,0
_aCajJli1gSV4VScB0DgIg,Times Square Diner,Toronto,3.5,M3H,0
RqjvlWbx0LScWVZnG_P6SQ,Subway,Phoenix,2.5,85018,0
GI1F8a__wktcfj6YVjTqAA,Nuro bistro,Las Vegas,4.5,89147,0
vG1vX6vvyK6st5UWetPPeg,Dotty's #1,Las Vegas,2.0,89193,0
bxcVRvqq37Z_8J0tnL78rA,Grey Tiger,Toronto,3.5,M6H,0
1CR2ddUcjYYwRd5JLtiRrw,Hard Rock Cafe,Las Vegas,3.5,89109,0
M85y1RfSCyWZkWR-18YU1Q,Subway,Las Vegas,2.0,89146,0
i-Mn8RJw5xUkITQBVvcKcQ,Sofia,Toronto,3.5,M5R,0
z85R3JrM5xkudu2SZxObPQ,La Taqueria,Las Vegas,3.0,89169,0
-rhH9sL3XGFpoJXcxUpEWA,Zinburger,Phoenix,4.0,85016,0
sR9hPrIaG-J-GLcl4yaiLw,Valley Bar,Phoenix,4.0,85004,0
3w66rzZq_rjA1kSmVt5Hew,Subway,Phoenix,3.0,85050,0
PbIjlAXsM99Km2SwrDw4aw,Pizza Nova,Toronto,3.0,M4Y,0
Xl70366GI5Qao-ORQYCofA,China One,Las Vegas,3.5,89121,0
q6xbgvr921AQswzVQ3QA-w,Yasha From Russia,Phoenix,4.0,85028,0
ECPWFe93D_VWHfsnkVBydg,Rustic Cosmo Cafe,Toronto,3.5,M6K,0
LIU7IcJtD9VieoIo__wd9Q,Thai Pan Cuisine,Las Vegas,4.5,89107,0
aPd7CFf8zG8OCyQD4cr8Qg,Anoush Middle Eastern Cuisine,Toronto,2.0,M5G,0
P1hYLhzT5rHDpzGkYUaarg,Tim Horton's,Toronto,2.5,M5H,0
rDMptJYWtnMhpQu_rRXHng,McDonald's,Phoenix,1.0,85020,0
-HO8ejDGgvj_Guw3R6lH1g,Peter Piper Pizza,Phoenix,3.5,85033,0
LRWNY71pO1KVOK3P6kam8A,Waffle House,Phoenix,3.5,85023,0
vNorXQri-4CGVdND6PTplQ,Thai Express,Toronto,4.0,M9W,0
Bm8nRUsZ-dK6g2eJLxMTOw,Naka Sushi,Las Vegas,4.0,89128,0
oSDZ60KdSkMDQNaHGqvQBA,Meallionaire,Las Vegas,5.0,89109,0
vT812nRctS62PVxUverayw,Mordeo Boutique Wine Bar,Las Vegas,5.0,89146,0
96JZapwKFbOc5MrXLh8E2w,Marcello's Market Deli,Toronto,3.0,M5G,0
eRjcli4nDHRwhByViUz9Ow,Rosati's Pizza,Las Vegas,3.0,89129,0
KyO_DCkbUL1AJSxdgIihUw,Village Juicery,Toronto,4.0,M6R,0
SXnXItivyE3i3FQbydak-A,Harbord Fish & Chips,Toronto,3.5,M5S,0
olllmpQVBHwOQmarQro2fw,Over Easy Restaurant,Toronto,4.0,M5E,0
tH0wF3EPPgAY14lnmK1_Sg,Makai Pacific Island Grill,Las Vegas,4.5,89128,0
sZ3AWH6WPq38fEKijvl9vA,Express Pizza,Las Vegas,3.0,89123,0
CmzJMXgsD7deXT7QSaLi1Q,BackYard BBQ,Las Vegas,5.0,89102,0
C9QVknXuoDBdR9CBa_Flyw,Saffron Spice Kitchen,Toronto,4.0,M5V,0
z45xS0Kc6GpiITwrpkRVdQ,Joe Vicari's Andiamo Italian Steakhouse,Las Vegas,4.5,89101,0
U-_yRdZqs5W2HNrzD_xvkQ,Falafel Royal,Toronto,4.5,M8V,0
sNVGdeOPeitJ3OWUQBINzQ,BabyStacks Cafe,Las Vegas,4.0,89147,0
-OEIW0dO96-492qa_luxaw,Aces & Ales,Las Vegas,4.0,89121,0
Mq1_dvcg5mbeplEmCEoUtQ,Sicilian Ristorante,Las Vegas,4.0,89121,0
JcAfn8YTNnoAUk9nGaioSg,Sweet Cream Donuts,Phoenix,4.5,85043,0
sWaWTnmRgOt6OE4v84y7fw,A&W,Toronto,2.0,M4J,0
JDwUNHYA_-FvxEMRvHniig,Taberna del Tequila,Phoenix,2.0,85034,0
ruo16t1qd2aywwUE47Ojnw,Blazin Mongolian BBQ,Phoenix,4.5,85051,0
N0l4hT7UCywbZ9UEZ1R9kQ,Patois Toronto,Toronto,3.5,M6J,0
R8MlQBl08OICEJOvwsw25g,Pamplona Cocktails & Tapas,Las Vegas,4.5,89146,0
1M-oyCcUluxwTid8vbBSdA,M&Y Bakery,Toronto,4.0,M1W,0
YCfGBnOZl8mGi7m7oWf4rg,Prickly Pear Cafe,Las Vegas,2.0,89119,0
8mW3kpRSFvRqFErkNFOicQ,Pomarosa Coffee Shop & Kitchen,Toronto,5.0,M4J,0
ugWB_hkm21s9v8xxAkmNVg,Mamma's Pizza,Toronto,3.0,M4E,0
DGX2ldVGub9F1EAU9R7C5A,Subway,Las Vegas,2.0,89113,0
oIpR2He8uErAPmdwTwSJyQ,Crowded House,Toronto,4.0,M4M,0
3S8nDh3gK2BmG-_HjDjh6w,Kothur Indian Cuisine,Toronto,3.5,M8V,0
fp8h0LdbO5WxiK41oYgZVA,Idle On Bloor,Toronto,3.5,M6H,0
k-NEUIXaPnXtrzCo1MeO7g,Jimmy John's,Phoenix,2.5,85032,0
STtrEGylaYOXoXQFLP5OAQ,The Breadfruit & Rum Bar,Phoenix,3.5,85004,0
eEKfOX6KtQmLgb8z-1VfUA,Riviera Bakery,Toronto,3.5,M6G,0
Bkkwt8E9MHvgCHn4lUFtow,Roy's Restaurant,Phoenix,3.5,85054,0
b4LmLgVdbhM-nc1IZc5Weg,Rodney's Oyster House,Toronto,4.0,M5V,0
i98bG3x6orc9TiIw7Xouew,Caspi Restaurant,Toronto,4.5,M3J,0
kRgAf6j2y1eR0wOFdzFAuw,Firefly,Las Vegas,4.5,89169,0
-BxWyEIQ6wypT-37MzZizQ,Carly's Bistro,Phoenix,4.0,85004,0
cXgXRqB40CGHEMKQgxLDTg,Fired Pie,Phoenix,4.0,85027,0
07wrZtaTar8BjJVZlFdYDQ,Audi Quattro Lounge,Phoenix,4.5,85004,0
PxNlfFHLRVGKqpN7-vXBTQ,Starbucks,Toronto,3.0,M4K,0
iQAwmfMPmOaCr5aeahV1ug,Philly's Sports Grill,Phoenix,3.5,85044,0
wcpS12gLfPz-z11BVhL6jQ,Soul Cafe,Toronto,4.0,M2M,0
4p6Wce7Ed707QS2-yQkvZw,Kitchen 56,Phoenix,3.5,85018,0
s6L6SdVYhPcOQEDmNIg1-g,Happy Wok,Las Vegas,3.0,89118,0
qRymrsLmlA34bC8PvNoujg,Market Grille Cafe,Las Vegas,4.0,89149,0
VA0GbpAN0qpa3bdHJ2a2iA,El Tenampa,Las Vegas,2.0,89101,0
kiBOT50alvcwdwUk6Wc1Rw,Bar Bataviato,Toronto,4.5,M4S,0
aZshH0IfszzZyXkoVLPVuw,Jimmy John's,Phoenix,3.5,85037,0
YLeAUkFFJri_21uTkyrVFg,Malaysian Garam Masala,Toronto,4.0,M1S,0
4CDBiS3Q1JPk4WicswFPnA,De Floured,Toronto,5.0,M6H,0
SQ8Tkavc4TJj-2kanEDzLg,Red Rock Pizza,Las Vegas,4.0,89128,0
-PKUAor_Nz_IaNjP_jIwyA,Playa Cabana - Hacienda,Toronto,3.5,M5R,0
Eg76PjESw705exvbt_VYjQ,Wu Jian Dao Shanghai Style Restaurant,Toronto,3.5,M1V,0
Q3SdFs_6P3BPhPPywHZqBQ,Khmer Thai Restaurant,Toronto,4.0,M6E,0
V58EMoVyTThEaTdOu-xdDA,Made in Argentina,Las Vegas,4.5,89118,0
eH4f7_hN8qzamuXBOvVLdg,Eggsmart,Toronto,2.5,M4J,0
onCx6Ye5IwD07emyj-VLrg,Hogtown Smoke In the Beach,Toronto,3.5,M4L,0
hpg2c5vFer85hvTnun2mNg,Kilawat,Las Vegas,2.5,89169,0
Wv_qGcUKptXkapn8e3j6Kg,McDonald's,Phoenix,1.5,85029,0
lHF2DU6Fzg8EDL1tTFvuIA,Danforth Roti Shop,Toronto,3.5,M4C,0
1Vvxx-9AoINg8TJXOZgEHg,YOLOS,Las Vegas,3.5,89109,0
vLkKorA1gPS97Zj0_WKA0Q,Twist by Pierre Gagnaire,Las Vegas,4.5,89158,0
sNHseqXVsFUcrn7o9mCUcg,Wendy's,Phoenix,2.5,85031,0
ceA0KTze09-0bHpOv0runw,Triple Dot Food Truck,Phoenix,3.0,85004,0
DuI8BlpnRRwsmmVMt7Yiww,Paradise Melts,Phoenix,4.0,85018,0
qlPyuJ77Znjh30I2kTs1xQ,Le Cafe Michi,Toronto,3.5,M1T,0
WN3NSIJQHfxtjf1kV7snVA,Kevin's Taiyaki,Toronto,4.5,M6G,0
2ADoawEfSAZpnQSwVEo5Ig,Sonic Drive-In,Phoenix,2.0,85023,0
kJc7XtQXYit7WNV8m4YDGA,Menuderia Guanajuato,Phoenix,4.0,85034,0
X4rqmQMJcpY4EajFAFTSlw,Pizza Del Arte,Toronto,3.5,M5P,0
pUX9gzo1Tf4vRv7hX0eP1g,Los Compadres Meat Market,Las Vegas,4.0,89103,0
jLxeBgWhLRbII2ACkgH1Sg,La Belle Terre French Bakery And Caf̩,Las Vegas,4.0,89117,0
orGCyrtYZl9JOV5XIgxJEg,McDonald's,Phoenix,1.5,85027,0
FMnH5WIRLyexBYMBUUnDxQ,Hearthstone Kitchen & Cellar,Las Vegas,4.0,89135,0
cepfJZIv0iLj1fDs8LdYZg,Queen Margherita Pizza,Toronto,3.5,M4L,0
k-PxUoiqD-jxtBOdQ1kF0A,Pizza Depot,Toronto,2.5,M1H,0
u84xKtVRDLuh_P_zXWkzLQ,Del Taco,Las Vegas,3.0,89102,0
Z1HnNAGBt0y9uZX1a1_9sQ,Subway,Las Vegas,3.5,89128,0
ADyDd_5KBcQc0s3gB381yg,Crepe Delicious,Toronto,3.5,M5B,0
2YZTrnj6XdSUz51KT7yo9A,La Pasadita Hot Dogs,Phoenix,4.0,85303,0
85-hoogKT4MR5eTqffpxAA,Super Zamani,Toronto,2.5,M2M,0
9YF-nxh6xDUvMoOGWSDLkg,Peg's Glorified Ham n Eggs,Las Vegas,4.0,89117,0
SIBaomIYVvsMU0GTuqX4vQ,PURE Sushi Colony,Phoenix,4.0,85014,0
o65tYlxYwa8xkEoMr3HwWQ,IKEA North York,Toronto,3.0,M2K,0
-w3gfqBhE-Cc8NK7ek6Fhg,Nori Japan,Toronto,2.5,M5J,0
rFs6RvMB5QYR1WwPCtchiw,Souvlaki Express,Toronto,3.0,M4S,0
aSHTlWB56c3bWOsRDIj_Hg,Agua El Manantial,Las Vegas,4.5,89104,0
iwGhazq9eP51PSerTrMrwg,Mr G's Pub & Grub,Las Vegas,4.0,89121,0
4FaRTjXXFdfs1Nn29V9kAg,KoKoRo Ramen,Las Vegas,4.0,89147,0
rmD9BPsucgR4q3WiygrjEA,Sr Ozzy's Tacos Y Mariscos,Phoenix,4.5,85041,0
oKATEDDmUGDDr-tIbDX5Pg,Rachel's Kitchen,Las Vegas,5.0,89106,0
lvyavq4ujrUVMG1pbBCi4Q,The Maine Lobster Lady,Phoenix,4.0,85251,0
N4AIlY5runouWKCMurrnvQ,Bean and Baker Malt Shop,Toronto,4.5,M6G,0
a_HejZvHvG2IM7ri1CnlYA,Paisano,Toronto,3.0,M3B,0
IfUPAiF3qMPi27gi-_UZzg,OPA! of Greece North York City Centre,Toronto,3.5,M2N,0
ibNxVcSE7peefvDUGEFvzQ,Cider House,Toronto,3.5,M6R,0
vOMDU31gdylrzBhAKC9QbA,Sushi Hiroyoshi Japanese Cuisine,Las Vegas,4.5,89146,0
aWNgOGiyf9jJxWHUd_by-Q,McDonald's,Las Vegas,2.5,89107,0
Et9tn7nEpEs043pQVa2HZg,Flip Toss & Thai Kitchen,Toronto,3.5,M5S,0
OOHDPE3tilNC4md8Lcx_4Q,Pon Ocha Soup,Las Vegas,4.5,89110,0
-_hk47bgWLbX0SfvBUkoPQ,Souper Salad,Phoenix,3.5,85051,0
gB4JpmmLKClE1ZFAwFWBJQ,Sunrise Grill & Crepe,Toronto,3.0,M6R,0
S4qTvUJUgL2tIrPV8CYqLQ,Asap City In & Out,Toronto,3.5,M5B,0
dht_FLsWVuO6TJeuLqY97g,A&W,Toronto,3.0,M6P,0
yLiaMaJFq03JxXPk4puloQ,McDonald's,Las Vegas,2.0,89113,0
